"","Sample","downloaded","mapped","asked","circ","path","Type","Cellline","OncotreeLineage","is_ecDNA"
"1333","ENCSR765SXU_ChIP-seq_Input_K562_SRX3322987",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR765SXU_ChIP-seq_Input_K562_SRX3322987","Input","K562","Myeloid","0"
"1334","ENCSR921JGF_ChIP-seq_Input_SK-N-SH_SRX16495595",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR921JGF_ChIP-seq_Input_SK-N-SH_SRX16495595","Input","SKNSH","Peripheral Nervous System","1"
"1335","ENCSR195ZCD_ChIP-seq_Input_HepG2_SRX5457357",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR195ZCD_ChIP-seq_Input_HepG2_SRX5457357","Input","HEPG2","Liver","0"
"1336","ENCSR195ZCD_ChIP-seq_Input_HepG2_SRX5457358",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR195ZCD_ChIP-seq_Input_HepG2_SRX5457358","Input","HEPG2","Liver","0"
"1337","ENCSR849DZW_ChIP-seq_Input_K562_SRX3322928",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR849DZW_ChIP-seq_Input_K562_SRX3322928","Input","K562","Myeloid","0"
"1338","ENCSR237LVA_ChIP-seq_Input_HepG2_SRX2630362",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR237LVA_ChIP-seq_Input_HepG2_SRX2630362","Input","HEPG2","Liver","0"
"1339","ENCSR268BDW_ChIP-seq_Input_SJSA1_SRX10187704",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR268BDW_ChIP-seq_Input_SJSA1_SRX10187704","Input","SJSA1","Bone","1"
"1340","ENCSR931XKA_ChIP-seq_Input_MCF-7_SRX3322801",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR931XKA_ChIP-seq_Input_MCF-7_SRX3322801","Input","MCF7","Breast","0"
"1341","ENCSR614FBE_ChIP-seq_Input_K562_SRX5457227",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR614FBE_ChIP-seq_Input_K562_SRX5457227","Input","K562","Myeloid","0"
"1342","ENCSR055XHN_ChIP-seq_Input_HepG2_SRX2630153",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR055XHN_ChIP-seq_Input_HepG2_SRX2630153","Input","HEPG2","Liver","0"
"1343","ENCSR055XHN_ChIP-seq_Input_HepG2_SRX2630154",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR055XHN_ChIP-seq_Input_HepG2_SRX2630154","Input","HEPG2","Liver","0"
"1344","ENCSR055XHN_ChIP-seq_Input_HepG2_SRX2630155",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR055XHN_ChIP-seq_Input_HepG2_SRX2630155","Input","HEPG2","Liver","0"
"1345","ENCSR055XHN_ChIP-seq_Input_HepG2_SRX2630156",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR055XHN_ChIP-seq_Input_HepG2_SRX2630156","Input","HEPG2","Liver","0"
"1346","ENCSR682TOC_ChIP-seq_Input_K562_SRX11164059",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR682TOC_ChIP-seq_Input_K562_SRX11164059","Input","K562","Myeloid","1"
"1347","ENCSR716YEJ_ChIP-seq_Input_MCF-7_SRX10475053",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR716YEJ_ChIP-seq_Input_MCF-7_SRX10475053","Input","MCF7","Breast","1"
"1348","ENCSR915XAG_ChIP-seq_Input_K562_SRX11164141",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR915XAG_ChIP-seq_Input_K562_SRX11164141","Input","K562","Myeloid","0"
"1349","ENCSR121UHI_ChIP-seq_Input_K562_SRX10476485",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR121UHI_ChIP-seq_Input_K562_SRX10476485","Input","K562","Myeloid","1"
"1350","ENCSR905GXX_ChIP-seq_Input_K562_SRX10477183",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR905GXX_ChIP-seq_Input_K562_SRX10477183","Input","K562","Myeloid","1"
"1351","ENCSR019ZGX_ChIP-seq_Input_HepG2_SRX10475083",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR019ZGX_ChIP-seq_Input_HepG2_SRX10475083","Input","HEPG2","Liver","0"
"1352","ENCSR621FPD_ChIP-seq_Input_HepG2_SRX10478512",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR621FPD_ChIP-seq_Input_HepG2_SRX10478512","Input","HEPG2","Liver","0"
"1353","ENCSR422KZB_ChIP-seq_Input_SK-N-SH_SRX11160784",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR422KZB_ChIP-seq_Input_SK-N-SH_SRX11160784","Input","SKNSH","Peripheral Nervous System","1"
"1354","ENCSR953NJZ_ChIP-seq_Input_K562_SRX10478316",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR953NJZ_ChIP-seq_Input_K562_SRX10478316","Input","K562","Myeloid","0"
"1355","ENCSR451BHD_ChIP-seq_Input_SK-N-SH_SRX10977341",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR451BHD_ChIP-seq_Input_SK-N-SH_SRX10977341","Input","SKNSH","Peripheral Nervous System","0"
"1356","ENCSR000BIX_ChIP-seq_Input_SK-N-MC_SRX100468",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR000BIX_ChIP-seq_Input_SK-N-MC_SRX100468","Input","SKNMC","Bone","0"
"1357","ENCSR358RZO_ChIP-seq_Input_SK-N-SH_SRX10977244",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR358RZO_ChIP-seq_Input_SK-N-SH_SRX10977244","Input","SKNSH","Peripheral Nervous System","0"
"1358","ENCSR310OPP_ChIP-seq_Input_K562_SRX10475820",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR310OPP_ChIP-seq_Input_K562_SRX10475820","Input","K562","Myeloid","0"
"1359","ENCSR292SJS_ChIP-seq_Input_K562_SRX16500273",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR292SJS_ChIP-seq_Input_K562_SRX16500273","Input","K562","Myeloid","1"
"1360","ENCSR785AHP_ChIP-seq_Input_K562_SRX10475471",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR785AHP_ChIP-seq_Input_K562_SRX10475471","Input","K562","Myeloid","1"
"1361","ENCSR966DOU_ChIP-seq_Input_K562_SRX3322862",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR966DOU_ChIP-seq_Input_K562_SRX3322862","Input","K562","Myeloid","0"
"1362","ENCSR966DOU_ChIP-seq_Input_K562_SRX3322863",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR966DOU_ChIP-seq_Input_K562_SRX3322863","Input","K562","Myeloid","0"
