ENTITY_STABLE_ID	NAME	C3N-02770	C3L-02970	C3N-01364	C3N-02782	C3L-04084	C3N-01798	C3N-02783	C3N-01814	C3L-02708	C3L-01049	C3N-01505	C3L-02984	C3N-01815	C3N-03182	C3N-03186	C3N-03088	C3N-02186	C3L-01045	C3L-02705	C3L-02707	C3L-03968	C3N-00663	C3N-01517	C3L-03748	C3N-00665	C3N-02188	C3L-01157	C3N-02769	C3N-02788	C3N-03184	C3N-01856	C3N-02185	C3L-03681	C3L-00365	C3L-00677	C3L-01149	C3N-01515	C3N-02183	C3L-03266	C3L-01043	C3L-00674	C3L-03727	C3N-01816	C3N-01192	C3L-03728	C3N-02181	C3L-02704	C3N-01852	C3N-03180	C3N-02256	C3N-03183	C3L-02041	C3L-01887	C3N-03188	C3L-03407	C3N-02785	C3N-02190	C3N-01334	C3N-02255	C3N-02784	C3L-02642	C3N-01369	C3L-02900	C3N-01518	C3L-02465	C3N-02786	C3L-02504	C3N-03070	C3N-00662	C3L-01048	C3N-01196	C3N-01368	C3L-02542	C3N-00661	C3N-01818
2-hydroxybutyric_acid	2-hydroxybutyric acid	22.113	22.948	20.966	21.644	20.265	22.182	21.671	20.248	21.252	21.201	21.614	21.942	21.201	21.985	21.121	21.413	22.16	20.778	21.783	21.149	20.64	22.078	21.226	21.822	21.499	20.648	22.588	22.585	21.628	21.201	21.761	21.956	22.148	21.352	23.076	20.901	22.372	21.854	21.797	21.575	21.501	21.336	20.997	22.409	22.109	22.058	20.911	22.388	21.677	22.577	21.197	21.983	21.355	21.209	22.57	22.525	22.007	21.929	21.21	21.201	21.309	21.782	22.607	22.354	22.114	22.567	21.223	21.709	20.712	21.326	21.789	21.863	21.254	22.238	20.359
2-hydroxyglutaric_acid	2-hydroxyglutaric acid	21.204	22.786	20.71	21.563	21.152	21.17	21.446	21.301	26.907	20.536	21.383	26.576	22.207	21.386	21.485	20.935	20.977	20.812	20.067	20.769	21.572	25.965	20.501	21.131	21.875	21.217	22.696	21.326	21.409	21.729	21.312	21.318	22.186	22.067	21.05	20.265	21.946	21.194	21.301	20.932	20.905	20.603	21.772	21.04	20.652	21.907	20.625	21.499	22.136	21.387	21.206	26.08	20.943	21.423	21.349	20.978	20.858	21.117	21.662	21.207	20.964	22.062	26.636	20.946	21.232	21.965	20.871	25.827	21.365	21.541	21.611	21.143	22.201	20.751	22.268
3-hydroxybutyric_acid	3-hydroxybutyric acid	22.203	22.058	21.43	23.094	21.665	22.316	21.186	21.998	22.017	21.82	21.583	19.556	21.163	22.99	23.512	22.427	21.912	23.079	21.606	21.794	22.768	21.269	21.398	22.554	23.153	20.477	21.914	23.095	21.966	20.971	21.86	21.318	20.954	22.042	23.77	21.749	21.41	20.836	21.21	21.828	21.558	23.296	21.997	21.916	23.302	21.754	21.668	21.55	23.146	21.343	21.722	21.748	22.086	20.834	22.291	21.173	21.48	22.292	23.811	22.043	20.296	22.465	23.064	22.3	21.39	21.57	21.103	21.109	20.895	21.291	20.942	22.06	23.85	21.464	20.254
3-phosphoglycerate	3-phosphoglycerate	21.016	20.777	21.043	21.499	21.397	21.201	21.342	20.791	22.297	20.711	22.572	21.3	19.077	20.475	20.723	20.684	21.429	21.704	21.514	21.516	21.246	21.972	21.061	21.404	21.448	20.972	21.201	20.883	20.769	21.002	20.337	20.711	20.769	21.856	21.054	18.734	21.207	20.577	21.193	22.358	21.841	20.95	20.81	21.897	20.387	20.793	20.729	21.547	21.269	21.883	21.449	21.62	21.178	21.341	20.287	21.322	21.405	21.017	21.193	20.722	19.691	21.169	21.543	20.516	21.211	21.241	20.596	21.231	20.817	22.008	20.759	20.907	20.468	21.413	19.132
adenine	adenine	NA	NA	16.525	NA	17.874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.711	NA	NA	NA	NA	NA	NA	NA	17.353	NA	19.117	NA	NA	NA	19.925	NA	17.698	18.881	18.907	NA	NA	NA	NA	NA	18.211	17.162	NA	NA	NA	17.288	18.299	19.634	NA	NA	NA	NA	17.901	NA	NA	NA	NA	NA	19.164	NA	NA	NA	NA	NA	18.2	NA	NA	NA	NA	16.778	NA	20.104	20.64	NA	NA	NA
aminomalonic_acid_(spectralmatch)	aminomalonic acid (spectralmatch)	22.076	20.704	22.147	22.173	23.326	22.296	20.12	21.957	21.193	22.62	22.376	17.814	23.32	22.132	22.369	21.339	21.784	22.22	21.369	22.339	22.105	21.124	23.279	22.877	23.123	23.464	23.61	21.138	23.013	22.466	21.198	22.605	20.439	22.512	20.806	22.777	22.406	22.401	21.523	23.176	21.971	21.603	22.048	22.01	22.033	22.26	23.495	21.96	22.669	22.356	21.658	22.051	21.212	21.311	20.322	22.903	22.768	22.45	22.671	22.386	21.372	21.135	22.418	23.185	21.956	21.973	21.987	23.107	22.483	23.112	23.487	22.662	22.419	21.789	20.96
campesterol	campesterol	18.743	18.829	18.918	18.142	18.6	19.067	18.773	18.29	16.146	17.642	19.228	NA	20.413	18.741	17.993	20.987	18.88	18.682	18.725	17.604	17.894	17.955	18.397	18.54	20.173	18.798	NA	18.684	20.065	17.823	19.244	16.889	17.299	15.391	19.627	19.466	19.771	21.209	19.102	18.499	19.808	18.199	18.225	20.498	19.728	19.167	18.321	19.869	20.851	NA	17.994	17.7	16.722	18.562	14.968	20.879	18.505	19.312	20.516	19.766	19.795	21.801	17.769	18.559	NA	19.281	14.532	18.962	20.188	15.362	19.456	18.74	17.616	19.718	NA
capricacid	capricacid	19.048	20.955	20.938	21.264	20.106	17.577	21.217	17.964	18.202	19.494	18.91	18.125	18.579	21.472	19.773	17.95	20.636	19.448	17.573	18.393	NA	18.715	17.707	17.995	18.031	21.814	21.538	20.436	17.263	19.682	18.679	18.86	22.198	17.11	18.111	19.568	19.237	17.351	16.925	21.997	NA	18.116	16.903	19.548	16.937	19.854	20.203	18.571	22.367	18.691	20.978	17.914	18.058	20.817	15.604	16.853	20.827	18.449	17.676	18.642	16.524	13.413	17.822	16.379	16.364	21.296	17.968	17.04	17.755	19.752	18.213	18.129	17.503	18.361	17.241
cholesterol_(spectral_match)	cholesterol (spectral match)	25.661	26.537	25.363	25.441	25.158	25.286	25.25	25.163	25.446	25.554	26.064	26.505	26.864	25.676	26.546	24.446	25.853	26.284	25.744	25.573	26.095	25.637	25.075	25.013	25.399	24.993	26.229	25.652	25.858	25.062	26.018	25.607	23.336	25.022	25.408	25.265	25.854	25.971	25.771	25.457	26.163	25.376	25.103	26.01	25.46	25.962	24.938	25.762	27.397	25.775	24.854	24.671	26.145	26.186	25.182	25.554	25.777	24.897	25.616	24.956	25.109	27.329	24.996	25.398	24.986	25.757	24.885	25.232	25.389	25.629	25.037	24.91	25.572	25.725	26.129
citricacid	citricacid	21.042	21.874	21.174	21.641	21.733	21.14	21.554	21.36	21.082	21.52	21.326	21.971	22.267	20.103	21.112	21.327	21.745	19.19	21.335	21.819	21.952	22.169	21.651	21.824	21.477	21.724	21.26	21.51	21.201	21.189	21.915	21.313	21.059	21.563	20.074	20.636	21.99	21.878	20.668	21.165	21.053	21.285	21.404	22.266	21.751	22.034	21.444	21.479	22.017	21.721	21.531	21.902	21.05	21.194	22.418	21.448	21.778	20.943	21.379	21.345	21.201	21.695	21.363	21.568	21.174	21.685	21.471	21.605	21.977	19.652	21.708	20.819	22.187	21.338	20.789
creatinine	creatinine	21.927	20.716	21.493	20.725	21.502	21.87	20.664	21.368	20.264	21.025	18.799	22.63	21.202	21.025	20.996	21.971	21.639	20.842	20.788	22.046	20.101	21.139	20.47	20.979	19.499	21.08	22.271	20.226	22.111	20.931	20.334	22.283	20.165	20.382	21.859	22.43	20.984	21.37	21.109	20.455	20.836	21.268	21.557	19.143	20.704	19.595	20.511	21.388	21.673	23.342	20.585	21.031	22.191	22.516	19.568	21.894	20.975	21.656	21.88	21.844	21.952	18.974	21.909	20.361	21.571	20.349	19.767	21.368	22.017	21.893	18.822	20.778	22.453	19.315	21.329
D_(+)_galactose	D (+) galactose	25.488	19.163	20.304	21.527	19.263	18.337	21.555	19.298	22.316	20.424	22.301	21.383	19.855	25.274	18.341	18.36	20.091	17.377	23.261	21.24	21.268	20.93	19.321	21.285	21.743	19.914	18.983	19.996	21.297	18.543	19.708	16.845	22.232	22.399	19.107	16.601	21.201	16.937	21.314	18.59	23.055	26.155	16.36	18.541	20.182	18.855	22.714	20.708	18.277	19.927	20.252	21.017	19.535	18.463	23.503	21.098	18.361	21.604	22.067	18.842	18.259	19.882	20.095	19.939	20.922	18.518	21.159	22.316	16.993	17.99	18.96	22.361	17.521	18.855	18.407
dehydroascorbic_acid	dehydroascorbic acid	NA	NA	20.989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.089	NA	NA	NA	NA	NA	NA	NA	NA	21.574	NA	NA	22.409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.911	NA	NA	19.598	NA	22.222	NA	NA	NA	NA	NA	NA	NA	NA	21.336	NA	NA	NA	NA	NA	NA	19.08	NA	NA	NA	19.918	NA	20.941	NA	21.045	NA	NA	NA	NA	NA
D-fructose-6-phosphate	D-fructose-6-phosphate	19.614	23.397	17.93	22.174	21.235	20.937	21.843	21.201	19.992	20.919	19.835	22.166	22.66	19.06	19.792	20.875	21.668	21.852	20.237	22.141	19.465	20.836	19.898	20.881	20.141	22.034	22.302	20.151	22.612	22.845	20.445	19.801	22.745	21.878	19.835	14.836	19.785	19.639	21.343	20.69	19.973	20.783	20.023	20.618	21.201	21.175	22.749	19.793	19.619	21.081	20.935	21.955	20.121	20.801	21.256	19.167	20.486	20.587	21.953	22.05	22.087	19.012	23.742	20.917	21.997	21.292	21.988	19.509	20.039	19.862	21.775	22.891	19.441	20.091	20.623
D-gluconic_acid	D-gluconic acid	16.216	23.674	22.804	22.999	22.766	22.739	15.986	22.769	23.269	22.788	20.707	23.178	23.39	23.335	23.822	23.03	19.774	17.806	22.735	20.36	23.061	23.188	19.949	16.911	20.199	22.615	17.242	23.469	17.224	22.561	20.237	22.923	20.828	16.239	22.534	23.327	15.877	22.677	22.431	16.753	17.088	22.45	23.409	17.756	23.901	23.754	22.941	23.495	20.463	21.791	23.274	23.211	23.114	23.128	22.212	15.729	22.964	16.879	23.066	22.055	22.227	19.943	21.215	22.898	22.165	23.343	22.878	21.528	19.853	23.406	21.927	19.938	23.897	23.729	24.571
D-glucose	D-glucose	20.821	22.958	23.83	24.676	22.691	21.96	24.771	21.979	25.759	24.531	25.636	24.771	23.488	20.136	21.332	20.288	23.526	23.008	25.992	24.726	24.69	24.407	22.952	24.484	25.1	23.44	22.515	23.309	24.491	22.958	23.336	20.869	25.146	25.629	21.394	19.285	24.587	21.065	24.498	23.778	26.061	21.211	20.223	22.461	23.338	22.487	25.558	23.815	22.534	23.471	23.851	24.27	23.171	22.511	25.855	24.264	21.866	24.828	25.402	22.502	21.778	23.683	23.846	23.285	24.311	22.494	24.571	25.708	21.448	22.353	22.672	25.341	22.003	22.291	22.239
D-glucose-6-phosphate	D-glucose-6-phosphate	19.683	23.846	17.088	22.627	21.709	20.85	22.49	21.543	19.038	21.833	18.795	22.632	23.354	17.604	19.79	21.263	22.075	22.674	20.041	22.429	19.304	21.326	19.985	21.075	20.209	22.891	23.067	19.589	23.455	23.513	20.079	20.046	23.508	22.584	18.672	16.431	16.939	19.673	21.646	21.128	19.212	21.051	19.276	20.119	21.601	21.917	23.34	19.41	18.304	20.916	20.618	22.697	19.521	20.787	21.721	19.161	20.47	20.74	22.417	22.936	22.67	19.101	24.025	21.878	22.862	21.462	22.039	19.839	19.597	19.735	22.647	23.488	19.835	19.83	21.049
DL-2-Aminoadipic_acid_(spectral_match)	DL-2-Aminoadipic acid (spectral match)	22.097	21.867	23.06	23.249	23.448	21.04	22.301	23.183	23.529	24.08	23.564	20.835	24.272	22.668	23.054	21.245	23.013	22.862	22.235	22.544	21.138	22.821	22.546	21.718	23.46	24.155	23.053	22.162	23.128	22.686	22.896	22.924	21.201	22.717	24.737	21.386	23.625	21.936	21.938	24.26	22.783	22.335	24.809	23.324	23.553	24.912	23.317	22.982	20.963	24.312	23.65	22.724	22.463	21.969	22.338	22.685	23.842	24.122	22.326	22.477	22.14	20.007	21.45	25.379	22.94	22.24	23.278	22.749	22.35	23.904	24.762	22.199	19.58	23.742	22.811
DL-3-aminoisobutyric_acid__(spectral_match)	DL-3-aminoisobutyric acid  (spectral match)	19.205	19.21	19.877	19.837	20.655	21.208	17.133	22.3	19.189	18.111	16.672	16.191	18.714	18.748	21.765	18.356	17.772	17.597	18.072	20.492	17.495	16.437	21.249	17.724	21.104	21.262	19.959	17.433	18.393	20.674	17.09	21.193	19.041	21.657	20.047	22.3	17.586	16.506	18.286	18.773	17.684	19.797	20.732	18.181	17.406	22.15	19.185	20.87	17.867	21.177	17.828	19.005	19.971	18.885	17.535	19.689	19.481	22.134	19.811	19.755	18.005	17.764	19.479	21.594	19.133	17.316	17.846	19.378	21.013	22.483	20.546	22.471	17.683	20.798	18.74
DL-isoleucine	DL-isoleucine	22.681	22.57	22.476	22.557	22.097	22.706	21.023	21.835	21.27	19.195	22.782	22.052	20.904	23.443	22.987	22.841	22.773	23.409	21.588	21.445	20.077	23.25	22.787	22.378	22.62	22.592	23.535	21.119	22.669	23.154	23.212	22.466	21.556	22.056	23.47	22.47	18.224	22.046	21.543	22.892	21.824	22.73	22.901	22.011	22.31	22.049	22.065	22.708	21.966	22.317	20.181	22.694	21.723	22.19	21.042	22.648	22.993	22.726	21.711	22.645	21.748	17.877	23.18	22.438	22.636	22.316	22.385	21.314	22.777	20.739	22.85	22.745	13.313	21.995	21.788
D-malic_acid	D-malic acid	22.632	23.181	21.985	22.767	22.64	22.815	22.049	22.179	21.669	22.906	22.523	22.294	22.969	21.697	22.815	22.28	22.221	22.812	21.538	23.302	22.569	22.169	22.719	22.438	22.406	22.679	23.256	21.588	22.482	22.814	22.41	21.708	22.417	22.181	22.689	22.917	22.54	22.192	22.233	22.359	22.302	22.271	22.488	23.652	22.212	22.013	22.45	22.942	21.96	22.852	22.944	22.358	22.355	22.62	22.055	22.58	22.107	21.98	22.245	22.707	22.85	21.559	22.861	22.604	22.598	22.773	22.086	22.193	22.644	22.471	22.233	22.59	22.975	22.241	22.033
D-mannitol	D-mannitol	23.697	22.697	23.51	21.191	23.243	23.33	23.656	23.438	23.806	18.681	17.453	18.441	24.735	24.183	24.617	23.114	23.082	17.539	23.464	23.151	23.714	23.947	23.366	23.586	23.777	23.454	18.51	23.976	23.487	17.034	24.1	23.808	22.506	23.867	23.931	20.555	23.501	23.389	23.487	17.796	23.766	23.834	23.598	18.544	23.329	24.926	23.17	24.007	19.207	17.907	23.442	22.934	23.506	23.386	20.919	21.008	23.782	22.613	18.225	17.331	22.835	24.567	18.15	23.731	22.38	20.427	23.986	19.594	24.396	16.502	19.857	22.615	24.297	23.724	22.236
D-mannose	D-mannose	17.451	18.185	19.607	19.442	17.118	19.673	19.735	17.373	21.354	19.87	19.382	19.008	18.634	18.283	14.44	18.598	18.254	19.719	21.821	20.383	19.757	19.309	18.457	19.795	18.519	18.436	19.575	18.669	18.987	19.087	19.667	17.966	21	19.942	18.22	17.808	18.983	17.939	19.226	18.277	20.456	18.552	17.927	18.304	19.404	19.959	19.61	19.186	17.141	18.423	19.464	18.548	18.69	16.892	21.074	19.482	17.282	19.946	19.971	18.147	16.938	18.909	19.769	18.468	18.832	18.76	18.53	19.05	19.899	19.198	17.545	20.669	19.991	17.435	NA
docosahexaenoic_acid	docosahexaenoic acid	NA	20.65	NA	NA	19.437	NA	NA	NA	NA	NA	NA	NA	19.496	NA	21.173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.092	19.682	18.467	NA	NA	19.691	NA	NA	NA	19.464	NA	NA	NA	NA	19.385	NA	NA	NA	20.289	NA	NA	18.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.04	NA	19.402	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.183	22.014
D-ribose-5-phosphate	D-ribose-5-phosphate	18.102	19.089	19.69	19.697	20.235	19.824	19.031	17.992	20.284	20.831	20.363	19.926	20.763	21.187	19.608	20.354	17.986	17.662	19.016	19.277	19.479	19.8	19.666	20.723	20.876	20.277	21.053	19.69	19.459	20.788	13.84	20.093	20.49	21.162	18.637	17.347	19.592	20.145	18.299	20.336	18.555	20.511	17.22	20.854	19.951	20.342	19.382	19.547	20.219	19.395	19.563	19.982	19.471	19.265	21.204	19.998	19.621	20.23	19.336	20.13	19.274	19.776	21.056	20.769	19.019	20.719	18.991	19.995	18.719	20.083	20.122	19.422	17.122	19.409	NA
D-ribulose-5-phosphate	D-ribulose-5-phosphate	18.48	20.049	20.149	16.994	21.413	18.434	18.384	17.522	18.201	21.398	19.71	21.089	19.923	15.136	18.054	20.065	18.542	15.218	17.522	17.845	20.581	19.752	17.516	20.793	21.297	20.195	20.291	17.93	18.184	20.536	NA	19.377	20.036	22.089	17.781	18.084	18.372	20.464	18.846	20.662	20.131	17.245	17.105	20.127	20.341	19.102	20.195	19.535	19.947	18.977	16.659	21.151	18.601	11.892	20.941	19.793	17.482	19.356	17.263	19.205	20.387	19.8	21.21	19.921	18.484	16.583	18.387	20.293	17.935	19.585	21.01	17.446	17.536	18.403	NA
D-sorbitol	D-sorbitol	25.363	21.225	22.095	25.698	19.478	25.107	24.825	23.634	22.065	20.719	19.124	19.715	22.166	26.224	22.856	21.743	24.75	18.439	25.037	21.845	24.882	25.595	25.115	24.847	23.902	21.755	20.045	25.919	22.677	21.694	26.004	25.446	22.542	21.276	24.749	21.805	25.182	25.304	25.023	19.992	25.287	25.435	25.627	19.613	19.642	23.054	21.481	20.341	20.206	19.302	22.102	20.142	25.436	22.276	25.103	25.861	25.557	22.067	18.489	24.975	24.88	26.333	19.33	23.025	21.355	20.893	25.526	20.011	26.014	19.349	21.947	23.958	25.869	21.577	22.95
fructose	fructose	20.503	20.936	19.315	21.146	20.803	19.49	21.46	19.135	19.325	20.285	20.589	21.729	20.968	18.573	19.529	19.369	20.712	22.119	20.593	21.244	19.463	20.041	20.573	19.824	20.691	19.479	20.747	19.461	21.469	21.409	20.619	19.47	22.276	20.068	19.105	19.365	20.737	18.628	20.162	19.737	21.008	19.295	19.57	21.074	20.602	19.229	21.825	20.496	19.669	20.909	19.84	19.737	20.442	20.593	21.623	19.279	19.315	21.201	21.903	19.519	19.149	19.411	20.427	19.603	20.444	20.046	19.42	19.448	20.335	20.063	19.666	21.765	20.325	19.562	NA
fumaric_acid	fumaric acid	22.12	22.246	18.909	22.692	18.709	21.518	21.866	21.845	22.313	22.309	22.266	21.485	22.146	22.718	22.187	20.895	21.503	20.662	20.737	22.314	21.673	21.45	22.089	21.818	22.305	21.444	19.187	21.979	19.968	21.984	21.823	21.408	18.241	22.757	22.554	20.382	22.27	18.65	21.264	21.925	21.968	19.684	21.469	22.478	18.03	22.326	20.357	22.894	23.171	21.881	22.207	21.484	22.106	21.456	20.559	22.548	18.689	21.043	21.975	21.473	21.87	22.32	21.739	21.913	18.156	22.523	22.213	22.063	21.911	20.002	21.669	18.692	19.952	22.551	21.096
galactitol	galactitol	23.4	20.51	23.769	26.165	22.937	23.272	25.793	25.833	25.822	18.048	19.505	21.051	24.819	26.559	26.894	25.061	25.467	19.424	23.466	20.618	23.538	26.324	25.653	23.099	23.953	25.694	20.442	26.262	21.01	19.597	25.979	25.951	21.168	26.114	26.279	18.835	20.157	17.975	25.716	17.785	23.717	25.911	25.945	19.86	22.91	27.075	23.387	26.076	18.58	17.83	23.527	22.878	21.235	19.91	23.2	26.395	25.931	19.279	18.574	21.802	25.19	22.85	18.547	23.283	22.762	18.289	26.272	19.428	26.473	17.396	19.77	21.055	26.366	19.143	24.474
glyceric_acid	glyceric acid	18.977	19.337	18.958	19.354	18.009	18.121	18.777	18.366	19.025	18.353	18.924	20.486	18.291	19.264	18.815	18.664	19.217	20.601	18.823	18.85	18.326	19.123	19.008	18.593	17.989	17.944	19.064	18.743	19.112	18.248	20.098	17.999	18.782	18.197	19.14	18.785	19.67	18.252	18.744	19.35	19.183	19.195	18.927	19.865	17.935	18.772	18.133	19.216	18.27	19.44	19.386	17.666	18.604	19.897	17.898	18.675	19.329	18.507	18.753	17.405	17.421	18.912	19.571	18.685	19.013	18.874	18.939	18.673	18.936	19.479	17.599	18.95	18.95	19.018	17.606
glycerol_3-phosphate	glycerol 3-phosphate	24.268	24.718	23.68	23.941	24.213	24.557	24.552	23.83	26.244	24.268	23.985	26.301	24.662	24.718	23.725	24.626	24.965	23.071	24.464	25.078	24.537	25.096	23.268	23.262	23.508	24.394	25.2	23.808	25.445	24.331	22.662	24.017	23.966	23.804	24.104	23.729	24.229	24.576	23.736	24.073	24.092	23.923	24.621	23.961	24.247	24.99	24.42	23.713	25.283	25.455	24.346	24.85	24.552	25.794	24.362	24.406	23.794	24.577	25.406	24.573	24.267	24.049	26.108	24.525	24.429	26.283	24.622	24.184	25.236	23.499	24.381	24.243	24.645	23.38	24.637
glycine	glycine	25.766	26.208	26.434	25.82	26.589	25.852	25.058	25.791	25.351	25.769	26.473	24.427	27.228	25.71	26.325	25.339	25.733	26.219	24.922	26.338	26.01	25.152	26.654	26.615	26.945	26.75	26.364	25.425	26.387	25.839	25.886	26.428	25.052	26.12	25.42	26.321	26.395	26.05	25.163	26.51	25.807	25.74	26.263	26.697	25.716	26.545	26.556	25.404	26.217	26.349	25.717	25.521	25.332	25.75	25.336	26.458	26.438	26.112	26.258	26.017	24.663	25.203	26.176	26.694	25.064	25.807	26.28	26.472	26.313	26.665	26.792	26.085	26.651	25.561	25.679
glycolic_acid	glycolic acid	18.335	17.42	17.835	18.1	16.49	17.363	17.873	18.026	18.387	17.794	18.438	19.068	18.511	18.535	17.454	18.656	18.448	17.923	18.276	17.946	17.921	18.442	18.676	17.314	17.704	17.609	19.764	17.956	18.505	18.685	18.397	17.719	16.888	17.674	18.599	17.618	17.951	17.387	18.39	17.666	18.111	18.014	18.52	19.781	17.342	19.139	18.094	18.773	18.207	18.397	17.961	17.347	18.536	17.651	17.648	17.909	18.373	17.659	18.156	17.901	17.91	18.402	18.953	17.863	18.487	18.086	16.988	17.659	18.225	18.147	17.231	17.867	18.312	18.04	19.589
heptadecanoic_acid	heptadecanoic acid	20.347	19.936	20.25	19.838	20.081	19.636	19.548	19.627	20.108	20.851	19.807	20.562	21.136	NA	20.818	20.673	21.121	22.803	20.431	19.832	21.029	19.874	19.736	19.55	19.331	19.348	20.568	19.652	20.423	19.727	21.734	20.446	19.457	19.561	20.117	21.015	20.229	20.52	20.325	20.998	21.201	20.182	19.813	20.32	19.133	20.859	19.757	20.066	21.899	20.294	20.657	16.161	20.356	20.245	19.437	20.205	20.646	19.631	19.797	19.457	19.881	21.758	12.122	20.069	19.852	19.818	19.394	20.274	19.443	22.013	19.735	19.662	20.128	19.759	19.591
homocysteine	homocysteine	18.889	20.062	18.825	18.209	18.653	20.198	18.343	20.82	15.543	14.067	19.985	21.203	18.289	16.926	20.07	21.273	21.507	18.139	20.016	22.439	17.204	19.292	21.683	18.533	17.635	19.943	20.616	18.58	21.945	21.296	18.588	19.862	18.684	20.25	21.024	18.596	18.949	19.915	20.691	21.201	19.371	19.018	18.125	21.217	16.736	20.439	18.151	19.812	19.186	21.855	18.277	17.723	20.971	20.366	18.56	18.624	21.671	20.367	20.995	17.523	21.971	17.05	21.708	16.974	19.474	16.437	20.995	19.023	20.624	18.959	18.516	22.031	18.14	21.244	21.861
hypotaurine	hypotaurine	23.918	24.418	23.407	23.804	23.926	24.224	24.366	22.433	22.067	23.657	24.001	21.683	23.964	23.819	22.433	25.102	23.696	21.282	23.432	22.9	23.059	22.933	23.758	24.268	23.536	25.178	20.569	24.252	24.114	25.875	22.717	23.883	22.292	25.375	21.994	24.597	24.542	24.823	23.903	25.603	23.752	25.077	23.321	24.376	24.578	19.905	25.027	23.028	24.935	23.557	24.097	23.533	24.002	24.205	25.02	24.868	22.58	23.932	22.306	24.404	23.853	23.982	24.477	24.832	23.22	22.788	23.85	22.504	24.389	23.305	23.821	25.464	24.001	23.611	22.22
L-2-aminoadipic_acid	L-2-aminoadipic acid	17.029	14.449	17.435	18.977	20.733	20.508	15.702	18.417	17.884	16.926	16.643	17.374	15.041	16.89	19.723	18.447	18.544	18.392	17.202	20.169	18.665	16.061	20.188	18.42	20.009	21.808	18.76	15.461	17.044	21.165	16.648	19.413	16.787	18.072	19.648	16.192	16.841	16.141	16.776	20.802	16.292	18.74	19.299	18.022	19.319	19.278	16.923	16.246	17.406	21.355	20.423	20.776	18.608	21.445	16.698	18.779	20.802	22.208	19.065	19.266	16.196	16.124	19.608	20.889	17.464	17.302	17.244	16.75	21.378	17.729	22.968	20.013	21.043	17.002	21.179
lactic_acid	lactic acid	25.475	26.544	25.542	24.944	25.028	25.109	24.616	25.049	25.258	25.587	25.619	25.238	26.444	25.709	26.432	25.475	25.269	26.003	25.005	25.359	25.428	25.933	25.155	25.367	25.139	25.303	25.931	25.599	25.734	25.141	26.138	25.501	25.261	25.26	25.616	25.205	25.63	25.204	25.201	25.502	25.547	25.281	25.458	25.4	24.978	26.303	25.068	25.883	25.973	25.601	25.609	24.843	25.266	25.572	24.262	25.483	25.223	24.929	25.664	25.136	24.639	25.76	25.327	25.504	24.731	25.813	25.384	25.284	25.364	25.838	25.238	25.064	25.912	25.777	26.736
L-alanine	L-alanine	25.08	25.03	25.528	25.447	25.01	25.058	25.458	24.575	25.013	25.447	25.733	20.364	26.1	25.697	25.812	25.056	24.932	25.245	24.536	25.19	24.929	25.502	25.242	25.537	25.217	25.946	25.905	24.115	25.204	25.595	25.351	25.486	25.381	25.111	25.639	26.211	25.256	25.096	24.547	25.458	25.071	25.723	25.296	25.692	24.848	25.846	25.347	25.576	25.095	25.311	25.509	25.255	24.878	25.699	24.529	25.679	25.228	24.877	25.078	25.09	24.615	24.601	24.575	25.309	25.297	25.284	25.58	25.15	25.846	25.096	25.803	25.199	25.415	25.771	25.739
L-aspartic_acid	L-aspartic acid	24.193	18.171	22.988	24.223	23.234	24.695	23.721	23.265	23.508	25.224	23.936	23.123	16.314	24.606	23.858	23.75	23.899	16.193	23.992	25.405	24.268	23.109	24.292	23.191	23.307	24.135	20.196	23.329	24.123	23.534	12.397	23.249	20.206	21.512	23.874	24.874	23.552	23.496	22.969	23.225	23.967	23.211	23.862	24.914	23.657	15.987	23.053	23.566	23.786	24.928	25.158	23.134	24.621	25.288	22.9	24.18	23.85	23.969	24.428	23.718	23.635	NA	23.29	24.205	22.806	24.215	23.25	23.618	24.766	22.89	22.654	23.129	23.378	23.59	23.219
L-cysteine	L-cysteine	21.851	21.7	23.407	22.368	22.501	22.109	21.51	21.791	21.576	21.917	22.799	22.088	23.152	22.931	22.206	22.268	21.952	24.112	22.098	22.526	23.091	23.257	22.964	21.772	22.965	22.617	21.145	22.927	22.397	22.449	23.362	22.36	22.25	22.999	22.326	22.781	22.8	22.374	22.353	23.706	22.306	22.409	21.776	22.413	21.932	22.448	22.22	22.966	23.349	23.058	22.732	22.438	21.679	22.05	21.094	22.107	22.52	21.618	21.696	21.829	22.031	23.526	21.958	22.964	21.969	23.101	22.406	21.898	22.887	24.073	22.61	22.796	21.876	22.865	21.81
