ENTITY_STABLE_ID	NAME	C3N-02770	C3L-02970	C3N-01364	C3N-02782	C3L-04084	C3N-01798	C3N-02783	C3N-01814	C3L-02708	C3L-01049	C3N-01505	C3L-02984	C3N-01815	C3N-03182	C3N-03186	C3N-03088	C3N-02186	C3L-01045	C3L-02705	C3L-02707	C3L-03968	C3N-00663	C3N-01517	C3L-03748	C3N-00665	C3N-02188	C3L-01157	C3N-02769	C3N-02788	C3N-03184	C3N-01856	C3N-02185	C3L-03681	C3L-00365	C3L-00677	C3L-01149	C3N-01515	C3N-02183	C3L-03266	C3L-01043	C3L-00674	C3L-03727	C3N-01816	C3N-01192	C3L-03728	C3N-02181	C3L-02704	C3N-01852	C3N-03180	C3N-02256	C3N-03183	C3L-02041	C3L-01887	C3N-03188	C3L-03407	C3N-02785	C3N-02190	C3N-01334	C3N-02255	C3N-02784	C3L-02642	C3N-01369	C3L-02900	C3N-01518	C3L-02465	C3N-02786	C3L-02504	C3N-03070	C3N-00662	C3L-01048	C3N-01196	C3N-01368	C3L-02542	C3N-00661	C3N-01818
Unknown_008	Unknown 008	NA	18.858	20.87	NA	NA	NA	NA	NA	NA	20.411	NA	NA	NA	NA	NA	17.872	19.077	20.081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.415	NA	NA	21.881	21.285	NA	21.174	NA	NA	21.288	NA	NA	NA	19.868	21.536	NA	NA	NA	NA	NA	20.028	NA	NA	NA	14.916	21.801	NA	NA	NA	NA	NA	NA	NA	20.265	NA	19.12	NA	NA	NA
Unknown_009	Unknown 009	NA	NA	NA	NA	NA	16.922	NA	NA	NA	NA	NA	NA	22.392	NA	22.551	NA	NA	NA	22.573	NA	NA	NA	NA	NA	NA	NA	20.932	21.92	NA	NA	NA	NA	21.344	20.781	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.092	NA	NA	NA	NA	NA	NA	NA	NA	23.755	NA	NA	NA	NA	NA	NA	22.259	NA	NA	NA	NA
Unknown_010	Unknown 010	25.241	25.726	25.323	24.851	25.618	25.003	24.892	24.069	25.906	25.097	26.241	25.264	17.877	25.482	23.688	24.643	25.198	17.803	25.784	25.06	24.522	25.548	24.48	25.586	25.121	24.876	26.018	25.585	25.311	24.77	26.464	24.538	24.759	25.905	25.427	25.283	25.929	24.849	24.849	25.843	26.024	24.366	24.387	26.145	25.29	17.866	24.571	25.651	24.982	25.901	24.765	24.792	25.093	24.963	25.383	25.754	24.469	25.527	25.097	25.002	25.078	25.631	25.201	25.624	24.263	25.728	25.177	25.747	26.145	25.295	26.307	25.048	24.129	26.011	17.848
Unknown_011	Unknown 011	20.855	21.178	21.784	20.043	22.095	20.48	20.813	19.718	19.357	21.944	20.883	20.031	22.609	20.381	20.602	22.902	21.302	21.523	19.85	19.331	22.027	19.348	20.216	21.452	19.36	21.152	22.734	20.791	20.686	20.109	21.869	22.104	20.55	20.808	20.695	23.63	21.075	21.886	19.733	22.12	20.655	21.112	19.966	21.963	21.052	20.908	19.806	19.524	22.337	20.095	21.534	20.909	20.11	20.848	21.096	21.327	19.969	22.023	20.069	21.094	20.939	21.518	19.975	21.372	20.138	20.7	21.011	20.804	20.456	21.59	22.425	20.697	19.397	20.822	20.69
Unknown_012	Unknown 012	18.797	19.92	16.189	18.738	17.861	17.514	18.365	18.286	17.801	17.639	19.973	19.53	18.087	19.572	19.313	20.353	19.869	17.607	18.277	16.398	16.825	17.514	17.878	17.847	19.159	17.81	20.322	17.969	19.077	18.625	19.199	17.647	17.988	18.463	18.785	17.962	18.424	18.999	19.012	19.517	20.273	18.532	15.888	19.928	19.079	19.174	18.73	19.51	20.26	17.081	16.941	16.929	19.089	19.506	18.179	18.608	18.296	16.964	19.273	17.354	18.691	19.675	18.502	18.061	17.936	18.062	18.396	18.112	17.475	18.561	17.974	18.365	15.86	17.835	NA
Unknown_013	Unknown 013	21.538	20.338	21.373	22.27	22.053	22.128	21.437	20.736	21.718	22.778	21.359	22.596	22.541	22.399	21.127	22.274	22.604	20.387	21.643	22.357	22.654	21.407	22.648	21.354	20.668	21.779	23.69	19.399	23.226	22.757	19.334	21.21	21.824	22.401	21.61	22.294	20.075	22.261	20.676	22.306	21.374	22.698	21.439	22.429	21.77	20.852	23.001	21.772	22.365	22.587	21.166	22.554	21.83	22.655	21.334	21.545	22.874	21.776	22.627	22.067	21.929	21.234	22.285	22.03	22.258	21.201	21.44	21.429	21.508	22.163	22.091	22.548	22.94	21.012	19.067
Unknown_014	Unknown 014	18.384	21.555	17.209	18.55	18.45	18.449	17.995	18.696	17.83	18.957	18.552	18.203	18.227	18.999	19.327	20.014	19.098	18.416	17.487	18.194	17.834	18.346	18.637	18.719	18.347	17.478	19.838	17.469	19.604	18.942	17.27	17.471	18.543	18.694	18.129	18.755	17.07	17.843	18.15	17.718	18.268	19.748	17.696	19.938	17.179	19.12	19.917	19.484	18.012	18.392	18.709	17.805	19.147	19.131	18.091	17.518	18.068	18.246	18.421	17.804	18.832	18.066	19.255	17.578	18.488	18.092	18.832	18.082	19.79	18.402	19.375	18.685	18.934	19.145	19.8
Unknown_015	Unknown 015	20.108	20.906	18.579	20.509	19.634	19.98	19.9	19.507	19.123	19.118	20.034	20.314	19.449	19.967	18.899	20.226	21.148	18.594	19.798	19.721	17.788	18.638	20.266	19.165	17.767	19.51	20.212	17.336	20.763	19.767	17.63	18.797	19.141	19.31	19.985	19.774	19.186	19.729	19.372	19.207	20.392	20.271	19.627	20.759	19.192	18.638	20.614	20.21	19.453	20.552	19.749	19.223	19.98	20.272	18.808	18.877	20.011	20.104	20.321	19.6	19.756	18.891	20.254	19.434	19.896	19.779	19.255	18.731	20.335	19.795	19.142	20.229	20.105	19.472	19.101
Unknown_016	Unknown 016	20.905	23.005	20.55	21.06	21.168	21.233	20.494	22.175	20.975	20.51	20.879	20.409	21.463	20.928	21.415	20.833	20.267	21.416	20.574	20.778	19.992	20.559	20.828	20.104	21.721	21.185	20.859	21.075	20.544	21.308	21.106	21.403	21.658	22.419	20.952	21.906	20.828	20.2	20.316	21.245	21.054	21.006	20.79	22.472	20.072	22.951	20.937	21.157	21.36	21.067	20.291	19.188	21.201	20.03	22.261	21.059	20.228	21.843	20.923	20.016	19.783	22.068	20.622	22.307	20.424	20.557	20.67	21.951	20.963	22.566	21.879	22.436	20.716	21.201	19.4
Unknown_017	Unknown 017	21.945	22.726	22.91	16.942	20.326	22.065	22.593	22.431	22.288	23.039	23.15	23.194	20.388	22.59	22.32	22.729	21.255	19.38	21.854	18.391	22.052	22.464	20.646	22.037	21.392	21.943	23.259	21.614	22.1	22.468	21.78	21.158	21.94	21.241	22.941	19.207	23.241	22.133	22.23	21.833	22.654	22.898	22.358	22.607	21.836	22.89	21.745	22.775	22.687	21.938	22.485	22.893	22.349	22.243	22.599	22.458	19.027	21.426	21.689	21.035	19.181	22.976	22.844	21.773	21.792	22.336	22.441	21.463	18.764	18.301	20.249	21.358	23.012	22.306	22.732
