gene	type	treat	batch
SRR7607863.genes.results	GSC	other	batch47
SRR7607864.genes.results	GSC	other	batch47
SRR7820938.genes.results	GSC	untreated	batch44
SRR7820939.genes.results	GSC	untreated	batch44
SRR7820940.genes.results	GSC	untreated	batch44
SRR7820941.genes.results	GSC	untreated	batch44
SRR7820942.genes.results	GSC	untreated	batch44
SRR7820943.genes.results	GSC	untreated	batch44
SRR7820944.genes.results	GSC	untreated	batch44
SRR7820945.genes.results	GSC	untreated	batch44
SRR7820946.genes.results	GSC	untreated	batch44
SRR7820947.genes.results	GSC	untreated	batch44
SRR7820948.genes.results	GSC	untreated	batch44
SRR7820949.genes.results	GSC	untreated	batch44
SRR7820950.genes.results	GSC	untreated	batch44
SRR7820951.genes.results	GSC	untreated	batch44
SRR7820952.genes.results	GSC	untreated	batch44
SRR7820953.genes.results	GSC	untreated	batch44
SRR7820954.genes.results	GSC	untreated	batch44
SRR7820955.genes.results	GSC	untreated	batch44
SRR7820956.genes.results	GSC	untreated	batch44
SRR7820957.genes.results	GSC	untreated	batch44
SRR7820958.genes.results	GSC	untreated	batch44
SRR7820959.genes.results	GSC	untreated	batch44
SRR7820960.genes.results	GSC	untreated	batch44
SRR7820961.genes.results	GSC	untreated	batch44
SRR7820962.genes.results	GSC	untreated	batch44
SRR7820963.genes.results	GSC	untreated	batch44
SRR7820964.genes.results	GSC	untreated	batch44
SRR7820965.genes.results	GSC	untreated	batch44
SRR7820966.genes.results	GSC	untreated	batch44
SRR7820967.genes.results	GSC	untreated	batch44
SRR7820968.genes.results	GSC	untreated	batch44
SRR7820969.genes.results	GSC	untreated	batch44
SRR7820970.genes.results	GSC	untreated	batch44
SRR7820971.genes.results	GSC	untreated	batch44
SRR7820972.genes.results	GSC	untreated	batch44
SRR7820973.genes.results	GSC	untreated	batch44
SRR7820974.genes.results	GSC	untreated	batch44
SRR7820975.genes.results	GSC	untreated	batch44
SRR7820979.genes.results	GSC	untreated	batch44
SRR7820980.genes.results	GSC	untreated	batch44
SRR7820981.genes.results	GSC	untreated	batch44
SRR8723368.genes.results	GSC	other	batch41
SRR8723369.genes.results	GSC	other	batch41
SRR8723370.genes.results	GSC	other	batch41
SRR8723377.genes.results	GSC	other	batch41
SRR8723378.genes.results	GSC	other	batch41
SRR8723379.genes.results	GSC	other	batch41
SRR9847710.genes.results	GSC	other	batch42
SRR9847713.genes.results	GSC	other	batch42
