header	clcell	Datasource	isctrl	cancer	Cancer_Category	Origin
GBM_P519_SF12601v3	P519_SF12601v3	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P519_SF12601v4	P519_SF12601v4	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P519_SF12601v5	P519_SF12601v5	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P519_SF12601v6	P519_SF12601v6	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P519_SF12601v7	P519_SF12601v7	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P519_SF12601v8	P519_SF12601v8	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P519_SF12601v9	P519_SF12601v9	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P521_SF12631v1	P521_SF12631v1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P521_SF12631v2	P521_SF12631v2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P521_SF12631v3	P521_SF12631v3	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P521_SF12631v4	P521_SF12631v4	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P521_SF12631v5	P521_SF12631v5	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P521_SF12631v7	P521_SF12631v7	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P521_SF12631v8	P521_SF12631v8	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P524_SF12681v1	P524_SF12681v1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P524_SF12681v10	P524_SF12681v10	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P524_SF12681v2	P524_SF12681v2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P524_SF12681v4	P524_SF12681v4	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P524_SF12681v5	P524_SF12681v5	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P524_SF12681v6	P524_SF12681v6	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P524_SF12681v7	P524_SF12681v7	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P524_SF12681v8	P524_SF12681v8	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P524_SF12681v9	P524_SF12681v9	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v1-1	P529_SF12794v1-1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v1-2	P529_SF12794v1-2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v10-1	P529_SF12794v10-1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v10-2	P529_SF12794v10-2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v2	P529_SF12794v2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v3-1	P529_SF12794v3-1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v3-2	P529_SF12794v3-2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v4-1	P529_SF12794v4-1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v4-2	P529_SF12794v4-2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v5	P529_SF12794v5	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v6-1	P529_SF12794v6-1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v6-2	P529_SF12794v6-2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v7-1	P529_SF12794v7-1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v7-2	P529_SF12794v7-2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v8-1	P529_SF12794v8-1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v8-2	P529_SF12794v8-2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v9-1	P529_SF12794v9-1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P529_SF12794v9-2	P529_SF12794v9-2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v1	P530_SF12822v1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v10	P530_SF12822v10	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v11	P530_SF12822v11	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v12	P530_SF12822v12	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v13	P530_SF12822v13	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v14	P530_SF12822v14	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v15	P530_SF12822v15	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v16	P530_SF12822v16	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v17	P530_SF12822v17	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v18	P530_SF12822v18	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v19	P530_SF12822v19	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v2	P530_SF12822v2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v3	P530_SF12822v3	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v4	P530_SF12822v4	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v5	P530_SF12822v5	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v6	P530_SF12822v6	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v7	P530_SF12822v7	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v8	P530_SF12822v8	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P530_SF12822v9	P530_SF12822v9	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_SF9427	SF9427	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_SF9427_2	SF9427	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_SF9427_3	SF9427	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_SW1088	SW1088	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_U118	U118	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_U251	U251	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_U251_2	U251	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_U343	U343	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_U343_2	U343	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_U343_3	U343	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_U87	U87	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_U87_2	U87	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_U87_3	U87	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_U87_4	U87	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_U87_5	U87	GEO	0	GBM	Solid Tumor	Central Nervous System
GC_GES1_rep1	GES1	GEO	0	GC	Solid Tumor	Digestive System
GC_GES1_rep2	GES1	GEO	0	GC	Solid Tumor	Digestive System
GC_NCC24_rep1	NCC24	GEO	0	GC	Solid Tumor	Digestive System
GC_NCC24_rep2	NCC24	GEO	0	GC	Solid Tumor	Digestive System
GC_SNU719_rep1	SNU719	GEO	0	GC	Solid Tumor	Digestive System
GC_SNU719_rep2	SNU719	GEO	0	GC	Solid Tumor	Digestive System
GC_YCC10_rep1	YCC10	GEO	0	GC	Solid Tumor	Digestive System
GC_YCC10_rep2	YCC10	GEO	0	GC	Solid Tumor	Digestive System
GIMEN	GIMEN	CCLE	0	NB	Solid Tumor	Central Nervous System
GM12878	GM12878	ENCODE	0	ALL	Hematological (Leukemia)	Hematological
GM12878	GM12878	ENCODE	1	B-ALL	Hematological (Leukemia)	Hematological
GM12878	GM12878	ENCODE	1	MM	Hematological (Leukemia)	Hematological
GM12878_GM12878_CC_rep1	GM12878	GEO	1	GM12878	Normal Tissue	NA
GM12878_GM12878_CC_rep2	GM12878	GEO	1	GM12878	Normal Tissue	NA
GRANTA452	GRANTA452	CCLE	0	MCL	Hematological (Lymphoma)	Hematological
HAP1	HAP1	CCLE	0	CML	Hematological (Leukemia)	Hematological
HCC_97L-sgEV	97L-sgEV	GEO	0	HCC	Solid Tumor	Digestive System
HCC_PLC-SAMv	PLC-SAMv	GEO	0	HCC	Solid Tumor	Digestive System
HCC1187	HCC1187	CCLE	0	BRCA	Solid Tumor	Reproductive System
HCC1569	HCC1569	CCLE	0	BRCA	Solid Tumor	Reproductive System
HCC1599	HCC1599	CCLE	0	BRCA	Solid Tumor	Reproductive System
HCC1806	HCC1806	CCLE	0	BRCA	Solid Tumor	Reproductive System
HCC1937	HCC1937	CCLE	0	BRCA	Solid Tumor	Reproductive System
HCC1954	HCC1954	CCLE	0	BRCA	Solid Tumor	Reproductive System
HCC2157	HCC2157	CCLE	0	BRCA	Solid Tumor	Reproductive System
HCC2218	HCC2218	CCLE	0	BRCA	Solid Tumor	Reproductive System
HCC364	HCC364	CCLE	0	NSCLC	Solid Tumor	Epithelial tumors
HCC38	HCC38	CCLE	0	BRCA	Solid Tumor	Reproductive System
HCC70	HCC70	CCLE	0	BRCA	Solid Tumor	Reproductive System
HCT116	HCT116	CCLE	0	CRC	Solid Tumor	Digestive System
HEK293	HEK293	CCLE	1	RCC	Solid Tumor	Urinary System
HELA	HELA	CCLE	0	CESC	Solid Tumor	Reproductive System
HEPG2.x	HEPG2	GEO	0	HCC	Solid Tumor	Digestive System
HEPG2.y	HEPG2	GEO	0	HCC	Solid Tumor	Digestive System
