ncell	cancer	gse	cell	isctrl	depth	Cancer_Category	Origin
SNU16	GC	GSE118391	SNU16	0	73295132	Solid Tumor	Digestive System
SNU16_2	GC	GSE135941	SNU16	0	69305086	Solid Tumor	Digestive System
SNU1750	GC	GSE135941	SNU1750	0	75686433	Solid Tumor	Digestive System
SNU1967	GC	GSE135941	SNU1967	0	66512936	Solid Tumor	Digestive System
SNU484	GC	GSE135941	SNU484	0	68325285	Solid Tumor	Digestive System
SNU719	GC	GSE135941	SNU719	0	74619259	Solid Tumor	Digestive System
SUM44	BRCA	GSE55634	SUM44	0	54137102	Solid Tumor	Reproductive System
SW1088	GBM	GSE147123	SW1088	0	39402175	Solid Tumor	Central Nervous System
SW480	CRC	GSE151970	SW480	0	17240021	Solid Tumor	Digestive System
SW626	OV	GSE147123	SW626	0	37849555	Solid Tumor	Reproductive System
SW780	BLCA	GSE148079	SW780	0	26410558	Solid Tumor	Urinary System
T2000877	GC	GSE118391	T2000877	0	53603199	Solid Tumor	Digestive System
T47D	BRCA	GSE105697	T47D	0	76414163	Solid Tumor	Reproductive System
T47D_2	BRCA	GSE109229	T47D	0	180051097	Solid Tumor	Reproductive System
T47D_3	BRCA	GSE147627	T47D-MTVL	0	46599257	Solid Tumor	Reproductive System
T47D_4	BRCA	GSE167150	T47D-MTVL	0	61438271	Solid Tumor	Reproductive System
T47D_5	BRCA	GSE172618	T47D-MTVL	0	96754928	Solid Tumor	Reproductive System
T47D_6	BRCA	GSE247777	T47D	0	178276947	Solid Tumor	Reproductive System
T47D_7	BRCA	GSE53463	T47D_HindIII	0	26898052	Solid Tumor	Reproductive System
T47D_8	BRCA	GSE53463	T47D_NcoI	0	51921657	Solid Tumor	Reproductive System
t8_21	AML	GSE108303	t8_21_cHiC	0	41281076	Hematological (Leukemia)	Hematological
T990275	GC	GSE118391	T990275	0	84245055	Solid Tumor	Digestive System
TALL_patient_xenograft	TALL	GSE130140	TALL_patient_xenograft	0	172295223	Hematological (Leukemia)	Hematological
TAMR	BRCA	GSE118712	TAMR	0	108437819	Solid Tumor	Reproductive System
TC32	ES	GSE242273	TC32	0	90870288	Solid Tumor	Mesenchymal tumors
TC797	NUT	GSE133163	TC-797	0	529761764	Solid Tumor	Epithelial tumors
Tcell	TALL	GSE130140	Tcell	1	94030547	Normal	Hematological
Tcell_2	TALL	GSE134761	Tcell1	1	69124394	Normal	Hematological
Tcell_3	TALL	GSE134761	Tcell2	1	39457036	Normal	Hematological
Tcell_4	TALL	GSE134761	Tcell3	1	39130805	Normal	Hematological
teloHAEC	ES	GSE242273	teloHAEC	1	45145793	Normal	Mesenchymal tumors
THP1	AML	GSE208040	THP-1	0	1500187	Hematological (Leukemia)	Hematological
thyroid_gland	MTC	GSE237300	thyroid_gland	1	487412318	Normal	Epithelial tumors
TR14	NB	GSE175452	TR-14	0	41973787	Solid Tumor	Central Nervous System
TT	MTC	GSE147123	TT	0	25294712	Solid Tumor	Epithelial tumors
U118	GBM	GSE147123	U118	0	29348003	Solid Tumor	Central Nervous System
U251	GBM	GSE125243	U251	0	21628461	Solid Tumor	Central Nervous System
U251_2	GBM	GSE125243	U251_capHiC	0	9689942	Solid Tumor	Central Nervous System
U266	MM	GSE100832	U266	0	29563908	Hematological (Leukemia)	Hematological
U266_2	MM	GSE87585	U266_HindIII	0	40598928	Hematological (Leukemia)	Hematological
U266_3	MM	GSE87585	U266_MboI	0	37963630	Hematological (Leukemia)	Hematological
U2OS	OS	GSE141067	U2OS	0	115683067	Solid Tumor	Mesenchymal tumors
U2OS_2	OS	GSE90003	U2OS	0	23745878	Solid Tumor	Mesenchymal tumors
