"sample"	"V3"	"id"	"group"
"P530.SF12822v10.tophat.genes.results"	"P530.SF12822v10"	"P530.SF12822v10"	"P530.SF12822v10"
"P530.SF12822v11.tophat.genes.results"	"P530.SF12822v11"	"P530.SF12822v11"	"P530.SF12822v11"
"P530.SF12822v12.tophat.genes.results"	"P530.SF12822v12"	"P530.SF12822v12"	"P530.SF12822v12"
"P530.SF12822v13.tophat.genes.results"	"P530.SF12822v13"	"P530.SF12822v13"	"P530.SF12822v13"
"P530.SF12822v14.tophat.genes.results"	"P530.SF12822v14"	"P530.SF12822v14"	"P530.SF12822v14"
"P530.SF12822v15.tophat.genes.results"	"P530.SF12822v15"	"P530.SF12822v15"	"P530.SF12822v15"
"P530.SF12822v16.tophat.genes.results"	"P530.SF12822v16"	"P530.SF12822v16"	"P530.SF12822v16"
"P530.SF12822v17.tophat.genes.results"	"P530.SF12822v17"	"P530.SF12822v17"	"P530.SF12822v17"
"P530.SF12822v18.tophat.genes.results"	"P530.SF12822v18"	"P530.SF12822v18"	"P530.SF12822v18"
"P530.SF12822v19.tophat.genes.results"	"P530.SF12822v19"	"P530.SF12822v19"	"P530.SF12822v19"
"P530.SF12822v2.tophat.genes.results"	"P530.SF12822v2"	"P530.SF12822v2"	"P530.SF12822v2"
"P530.SF12822v3.tophat.genes.results"	"P530.SF12822v3"	"P530.SF12822v3"	"P530.SF12822v3"
"P530.SF12822v4.tophat.genes.results"	"P530.SF12822v4"	"P530.SF12822v4"	"P530.SF12822v4"
"P530.SF12822v5.tophat.genes.results"	"P530.SF12822v5"	"P530.SF12822v5"	"P530.SF12822v5"
"P530.SF12822v6.tophat.genes.results"	"P530.SF12822v6"	"P530.SF12822v6"	"P530.SF12822v6"
"P530.SF12822v7.tophat.genes.results"	"P530.SF12822v7"	"P530.SF12822v7"	"P530.SF12822v7"
"P530.SF12822v8.tophat.genes.results"	"P530.SF12822v8"	"P530.SF12822v8"	"P530.SF12822v8"
"P530.SF12822v9.tophat.genes.results"	"P530.SF12822v9"	"P530.SF12822v9"	"P530.SF12822v9"
"SRR11843774"	"U343"	"U343_1"	"U343"
"SRR11843775"	"U343"	"U343_2"	"U343"
"SRR11843776"	"U343"	"U343_3"	"U343"
"SRR12516202"	"SW1088"	"SW1088"	"SW1088"
"SRR12516204"	"U118"	"U118"	"U118"
"SRR12516205"	"U87"	"U87_1"	"U87"
"SRR13238394"	"SF9427"	"SF9427_1"	"SF9427"
"SRR13238395"	"SF9427"	"SF9427_2"	"SF9427"
"SRR13238396"	"SF9427"	"SF9427_3"	"SF9427"
"SRR13238397"	"NHA"	"NHA_1"	"NHA"
"SRR13238398"	"NHA"	"NHA_2"	"NHA"
"SRR13238399"	"NHA"	"NHA_3"	"NHA"
"SRR14862282"	"U87"	"U87_2"	"U87"
"SRR14862283"	"U87"	"U87_3"	"U87"
"SRR14862284"	"U87"	"U87_4"	"U87"
"SRR16242104"	"iPSC"	"iPSC_1"	"iPSC"
"SRR16242105"	"iPSC"	"iPSC_2"	"iPSC"
"SRR16242106"	"iPSC"	"iPSC_3"	"iPSC"
"SRR16242110"	"NPC"	"NPC_1"	"NPC"
"SRR16242111"	"NPC"	"NPC_2"	"NPC"
"SRR16242112"	"NPC"	"NPC_3"	"NPC"
"SRR19117165"	"U87"	"U87_5"	"U87"
"SRR25591306"	"42MGBA"	"42MGBA_1"	"42MGBA"
"SRR25591307"	"42MGBA"	"42MGBA_2"	"42MGBA"
"SRR25591308"	"42MGBA"	"42MGBA_3"	"42MGBA"
"SRR25591312"	"H4"	"H4_1"	"H4"
"SRR25591313"	"H4"	"H4_2"	"H4"
"SRR25591314"	"H4"	"H4_3"	"H4"
"SRR8446749"	"U251"	"U251_1"	"U251"
"SRR8446750"	"U251"	"U251_2"	"U251"
"SRR8893597"	"A172"	"A172_1"	"A172"
"SRR8893598"	"A172"	"A172_2"	"A172"
"SRR8893601"	"A172"	"A172_3"	"A172"
"Tophat_P455SF11901v1.accepted_hits.genes.results"	"P455.SF11901v1"	"P455.SF11901v1"	"P455.SF11901"
"Tophat_P455SF11901v10.accepted_hits.genes.results"	"P455.SF11901v10"	"P455.SF11901v10"	"P455.SF11901"
"Tophat_P455SF11901v2.accepted_hits.genes.results"	"P455.SF11901v2"	"P455.SF11901v2"	"P455.SF11901"
"Tophat_P455SF11901v3.accepted_hits.genes.results"	"P455.SF11901v3"	"P455.SF11901v3"	"P455.SF11901"
"Tophat_P455SF11901v4.accepted_hits.genes.results"	"P455.SF11901v4"	"P455.SF11901v4"	"P455.SF11901"
"Tophat_P455SF11901v5.accepted_hits.genes.results"	"P455.SF11901v5"	"P455.SF11901v5"	"P455.SF11901"
